(331222.6210000003, 672917.1531000007)
(331336.0946000004, 672911.7816000003)
(331488.4949000003, 672932.4191999994)
(331676.61400000006, 672964.9629999995)
(331760.7516999999, 672982.4254999999)
(331813.3679999998, 673006.8087000009)
(331821.55399999954, 672997.9003999997)
(331831.1991999997, 673000.8390999995)
(331854.31709999964, 672978.3438000008)
(331919.9841, 672931.1251999997)
(331968.33330000006, 672887.3060999997)
(332024.6942999996, 672812.5787000004)
(332051.44930000044, 672857.0776000004)
(332151.1787999999, 672944.7237999998)
(332214.6503999997, 672973.4368999992)
(332258.47759999987, 672980.9899000004)
(332309.8496000003, 672952.2769000009)
(332373.3130000001, 672955.3079000004)
(332421.6704000002, 672988.5428999998)
(332513.8476, 672988.5482000001)
(332500.51020000037, 672935.4586999994)
(332496.86479999963, 672934.7295999993)
(332516.9598000003, 672867.7682000007)
(332517.4676999999, 672792.6885000002)
(332499.1012000004, 672698.1201000009)
(332537.0465000002, 672619.9930000007)
(332545.97580000013, 672566.4090999998)
(332490.1719000004, 672367.7448999994)
(332449.9901999999, 672320.8703000005)
(332380.79229999986, 672258.3652999997)
(332380.79229999986, 672256.7433000002)
(332354.81549999956, 672231.9461000003)
(332314.37150000036, 672193.1241999995)
(332252.8987999996, 672168.8512999993)
(332214.0686999997, 672121.9440000001)
(332202.74739999976, 672100.9151000008)
(332217.3046000004, 672071.7925000004)
(332277.1634999998, 672073.4064000007)
(332193.0399000002, 672015.1693999991)
(332091.1314000003, 671968.2620000001)
(332029.6503999997, 671937.5255999994)
(331964.94180000015, 671913.2609000001)
(331859.7893000003, 671914.8747000005)
(331722.2784000002, 671955.3187000006)
(331767.28160000034, 671894.7273999993)
(331767.2851999998, 671894.7225000001)
(331602.10170000046, 671926.8432999998)
(331477.28839999996, 671959.8816)
(331393.15660000034, 671982.1392999999)
(331392.47670000046, 671982.3277000003)
(331392.47670000046, 671983.9415000007)
(331329.9879999999, 672149.2887999993)
(331260.04470000044, 672443.0294000003)
(331239.27809999976, 672530.2332000006)
(331236.9678999996, 672616.8145000003)
(331208.2548000002, 672802.6826000009)
(331222.41899999976, 672916.8219000008)
(331222.7466000002, 672916.9037999995)
(331222.6210000003, 672917.1531000007)

